business_id,review,star
pomGBqfbxcqPv14c3XH-ZQ,love place fiance go atleast week portions huge food amazing love carne asada great lunch specials leticia super nice cares think restaurant try cheese enchiladas sauce different amazing,5
EAwh1OmG6t6p3nRaZOW_AA,ribs amazing hour wait amazing understandable place would get stars expanded bbq restaurant ribs amazing get much food price tastes sooo good plus two hour wait isnt always bad thing gives excuse drink gamble wait,4
q0n4I-zqiI47xispOqc1lA,delicious friendly staff cool atmosphere around great experience pretty great selection crepes omelettes among things enjoyed cherry omelette cherry tomatoes swiss cheese potato slices bacon pretty big cooked perfectly nice side salad bread well coffee great server warm polite would recommend,5
yz66FIUPDKGhILDWzRLeKg,wish could tell food problem friend went dinner seated quickly unfortunately middle empty dinning room asked moved side upon sitting told could one small table tops two together hostess told us manager said could use two table tops empty restaurant got left manager chasing us blaming hostess ridiculous action needles say never return,1
RyTEGJz5tG7zC73BdXt-cQ,best veal sandwich ever like garlic top pasta lasagna chicken good good service nice clean place parking good,5
vsFFbN71ehRCp46KeR5RdQ,best scrambles eggs fluffy tasty servings large teenage athletes leftovers scrambled us egg vote butterfields orange juice absolutely delicious everyone nice despite packed place fast try wo disappointed,5
-YR7K3rw6VAQ1-MjslvsoQ,stars come several times past years management always different review current management supposedly management like longer order pay counter usually order calamari calamari salad katsu time calamari crispy bland dipping sauce thank tasted like mix wasabi tartar soap soy sauce saved calamari katsu super delicious fresh starving finished mine went food coma staff pleasant lower score place super busy tables small parties per table yet got table dirty wiped away grease streak pcs food laying table place closer tokyo express guess come back,3
1VKjDpPJdVoiRc8I9f7U9g,meh skinny mozzarella sticks appetizer adult toddler wish went costco get whole bag teens wednesday wings glad still stick original would recommend wing sauce garlic parm nothing compared long wongs buffalo wild wings fries bland staff seemed nice server dude walked said everything kept walking without stopping even really lookong table time happened one person party empty drink going smiles verbal motions without actually serving would go back hooters yes one neeeevvvaaahhhhhhh go downtown,2
Szcr-yMxq76zRaSTUapAcw,never inside always drive experience place could use retouching paint etc place mean little see drive thru window food super tasty picky eater son loves chicken tacos try patron burrito half breakfast half linner big,3
9E1q2uEMd881wnruicNTUA,last review novel short ordered online pick food handed exactly time minute later aaarrrmmmyyygaaawwwd amazing one order wrong pretty good anyway leave human,3
U3O8l_wmzdeckbhHpuRWCg,came starving left stuffed always loved still adore calamari add breadsticks soup could even finish main course dinner probably brunch tomorrow jerry server amazing one section ca say service speedy always smiling gracious party even though could see party getting anxious fact kept composure professionalism remained gracious commend kind service kudos jerry og management perhaps improve scheduling lunch rush,4
ZmLYXTXXrrIA9qMx8rVsTA,take place chemical smell back glad gone ate time movie enjoyed freshly cooked food like healthy options came famished left really full place clean gtiendly efficient staff find katsu sliced thin longer tender fried sushi ok calamari,3
6tSvz_21BMo3a4GaItwa0g,love rice sushi options pretty good list sushi sauces use food came timely manner service bad,4
XiN6fI8I3Mzg2nPRJ9ukRQ,ruby salad carpaccio salmon ravioli everything literally amazing amazing server well one thing bad say restaurant,5
OR6iRk0vrMzE-1gLg-WYrw,ever driven high park bloor street seen sign advertises dollar breakfast considered stopping check probably lucky sure know breakfast dollars probably hard regardless price still like meal served hot put together level care attention pretty mediocre breakfast slice warm ham strip old bacon browned toast eggs leftover potatoes breakfast served service staff seem care complain sure heard countless times course served one toronto prized possessions high park location certainly would given star fact location probably would eaten strange way almost wish eat way ad bloor street could remained mystical promise tasty hot breakfast somewhere heart high park,2
CN5nuUQod0f8g3oh99qq0w,get whopper anymore former burger king bathurst bloor become second toronto location vancouver dynamo chain easy enough almost walk past guu sakabar nicknamed guu travel bloor street exterior dark signage minimal windows see though walls wood accents look stunning attractive inside things kept simple uncluttered open concept dining room filled long wooden tables unlike church street location guu small separate dining space patrons expected seated floor actually wo find typical table anywhere guu sakabar main dining room idea share experience others large communal tables friends strangers uncomfortable seating arrangements sit bar fair warning right thick things restaurant famous quirky element unavoidable dining experience time enter time leave subject loud yells cheers staff boom whole restaurant boisterously welcome enter give loud farewell leave would assume handful people would infinitely turned think gives place one best atmospheres around almost expected happy birthday chant ironic contrast miss beat entire staff literally sings birthday song even chefs behind counter mind one service kitchen staff ever come across went guu tuesday evening seating guests taking orders delivering orders cooking clearing processing payments idea manage keep top enthusiastic cheers guu raised bar believe service staff capable say couple orders consider starters like salads sashimi came last dishes small order come kitchen fast sequence hardly matters organization teamwork impeccable sat bar front action dish would ready go chefs would hand right us seems like everyone knows everything goes everyone awesome well restaurant worth nothing food hold happy say food japanese menu strong voice even noisy dining room variety dishes offered expected edamame sashimi unique items like puffed octopus soufflé tender octopus creamy cheese fried skewers quail egg item price point around expect tapas restaurant servings substantial sashimi salad particular large enough split amongst two people heartily four people ease sashimi pieces definitely worthy two bites get six platter one benefit sitting bar watching dish go one one found ogling going past quite simply food great certainly get pay fun dining experience part feel though part may yell conversations across table heard time smiling,4
ncBPf_4toivivsi8b__cRw,invited last week attend new menu tasting event company resto bar mississauga across square one shopping center first impressions restaurant huge good spot looking throw party corporate event dinner definitely room accommodate large groups dinner drinks menu set shareable appetizers well traditional entrees tried variety starters ranged first tried louisiana shrimp po boys sharable serving came three po boy sliders along helping fries shrimp lightly spiced instead battered like traditional sandwich served creole tartar sauce lettuce tomatoes buns bit oversized shrimp sandwiches something tells better suited hamburger sliders also menu next appetizers charcuterie flatbread great value flatbread came table size small pizza us pieces great size appetizer big fan traditional charcuterie board interested trying pleasantly surprised meat overpowered cheese tomato sauce base flatbread would highly recommend one traditional entrees next tried surf n turf new menu item really liked unique presentation item set long board instead traditional steak potatoes plate steak cooked exactly requested lobster tail generous size butter sauce overpowering cooked perfectly meaty unfortunately double cheese baked potato dry seems like premade cheese asparagus shallots added reheated simply baked potato would better choice one attempt added flair add much dish recommendation waitress also tried penne jambalaya huge helping pasta came big chunks chorizo chicken breast shrimp sambucca cajun cream sauce sauce tasted lot like vodka sauce never tried sambucca portion size impressive pasta good kick spice definitely win well worth hit music turned deafening level tables guests began arrive including party groups bottle service night decided time ask dessert could head way brownie cookie stack arrived table fanfare huge firework candle drew attention tables around us arrived would great birthday party function regular dessert accompaniment little top pleasantly surprised portion size stack huge thick brownie chocolate chip cookies vanilla ice cream raspberry drizzle although presentation amazing ice cream sauce could bring enough cookies warm moist chewy overall food comparable lot king street toronto affordable price range without wait table service great manager hostesses felt welcomed restaurant company would awesome spot celebrate birthday family function company party looking intimate dinner party romantic evening might best choice,3
